[INFO ] 2023-03-08 00:03:27.929 [main] Filters - EventoPerdida{player=Player{id=7173, name='Leonardo Bonucci'}, type=Type{id=3, name='Dispossessed'}}
[INFO ] 2023-03-08 00:03:27.930 [main] Filters - EventoPerdida{player=Player{id=5203, name='Sergio Busquets i Burgos'}, type=Type{id=38, name='Miscontrol'}}
[INFO ] 2023-03-08 00:03:27.930 [main] Filters - EventoPerdida{player=Player{id=6685, name='Mikel Oyarzabal Ugarte'}, type=Type{id=38, name='Miscontrol'}}
[INFO ] 2023-03-08 00:03:27.930 [main] Filters - EventoPerdida{player=Player{id=16532, name='Daniel Olmo Carvajal'}, type=Type{id=3, name='Dispossessed'}}
[INFO ] 2023-03-08 00:03:27.930 [main] Filters - EventoPerdida{player=Player{id=8181, name='Nicolò Barella'}, type=Type{id=3, name='Dispossessed'}}
[INFO ] 2023-03-08 00:03:27.930 [main] Filters - EventoPerdida{player=Player{id=6748, name='Ferrán Torres García'}, type=Type{id=3, name='Dispossessed'}}
[INFO ] 2023-03-08 00:03:27.930 [main] Filters - EventoPerdida{player=Player{id=5199, name='Jorge Resurrección Merodio'}, type=Type{id=3, name='Dispossessed'}}
[INFO ] 2023-03-08 00:03:27.930 [main] Filters - EventoPerdida{player=Player{id=7788, name='Ciro Immobile'}, type=Type{id=3, name='Dispossessed'}}
[INFO ] 2023-03-08 00:03:27.930 [main] Filters - EventoPerdida{player=Player{id=16532, name='Daniel Olmo Carvajal'}, type=Type{id=38, name='Miscontrol'}}
[INFO ] 2023-03-08 00:03:27.931 [main] Filters - EventoPerdida{player=Player{id=30486, name='Pedro González López'}, type=Type{id=3, name='Dispossessed'}}
[INFO ] 2023-03-08 00:03:27.931 [main] Filters - EventoPerdida{player=Player{id=7156, name='Federico Chiesa'}, type=Type{id=38, name='Miscontrol'}}
[INFO ] 2023-03-08 00:03:27.931 [main] Filters - EventoPerdida{player=Player{id=7788, name='Ciro Immobile'}, type=Type{id=3, name='Dispossessed'}}
[INFO ] 2023-03-08 00:03:27.931 [main] Filters - EventoPerdida{player=Player{id=3166, name='Marco Verratti'}, type=Type{id=3, name='Dispossessed'}}
[INFO ] 2023-03-08 00:03:27.931 [main] Filters - EventoPerdida{player=Player{id=16532, name='Daniel Olmo Carvajal'}, type=Type{id=38, name='Miscontrol'}}
[INFO ] 2023-03-08 00:03:27.931 [main] Filters - EventoPerdida{player=Player{id=7037, name='Lorenzo Insigne'}, type=Type{id=38, name='Miscontrol'}}
[INFO ] 2023-03-08 00:03:27.931 [main] Filters - EventoPerdida{player=Player{id=16532, name='Daniel Olmo Carvajal'}, type=Type{id=38, name='Miscontrol'}}
[INFO ] 2023-03-08 00:03:27.932 [main] Filters - EventoPerdida{player=Player{id=6685, name='Mikel Oyarzabal Ugarte'}, type=Type{id=3, name='Dispossessed'}}
[INFO ] 2023-03-08 00:03:27.932 [main] Filters - EventoPerdida{player=Player{id=4355, name='Emerson Palmieri dos Santos'}, type=Type{id=38, name='Miscontrol'}}
[INFO ] 2023-03-08 00:03:27.932 [main] Filters - EventoPerdida{player=Player{id=16532, name='Daniel Olmo Carvajal'}, type=Type{id=38, name='Miscontrol'}}
[INFO ] 2023-03-08 00:03:27.932 [main] Filters - EventoPerdida{player=Player{id=7173, name='Leonardo Bonucci'}, type=Type{id=3, name='Dispossessed'}}
[INFO ] 2023-03-08 00:03:27.932 [main] Filters - EventoPerdida{player=Player{id=8181, name='Nicolò Barella'}, type=Type{id=38, name='Miscontrol'}}
[INFO ] 2023-03-08 00:03:27.932 [main] Filters - EventoPerdida{player=Player{id=7788, name='Ciro Immobile'}, type=Type{id=38, name='Miscontrol'}}
[INFO ] 2023-03-08 00:03:27.932 [main] Filters - EventoPerdida{player=Player{id=3166, name='Marco Verratti'}, type=Type{id=3, name='Dispossessed'}}
[INFO ] 2023-03-08 00:03:27.932 [main] Filters - EventoPerdida{player=Player{id=6685, name='Mikel Oyarzabal Ugarte'}, type=Type{id=38, name='Miscontrol'}}
[INFO ] 2023-03-08 00:03:27.932 [main] Filters - EventoPerdida{player=Player{id=8181, name='Nicolò Barella'}, type=Type{id=38, name='Miscontrol'}}
[INFO ] 2023-03-08 00:03:27.932 [main] Filters - EventoPerdida{player=Player{id=8181, name='Nicolò Barella'}, type=Type{id=38, name='Miscontrol'}}
[INFO ] 2023-03-08 00:03:27.933 [main] Filters - EventoPerdida{player=Player{id=16532, name='Daniel Olmo Carvajal'}, type=Type{id=38, name='Miscontrol'}}
[INFO ] 2023-03-08 00:03:27.933 [main] Filters - EventoPerdida{player=Player{id=7131, name='Domenico Berardi'}, type=Type{id=3, name='Dispossessed'}}
[INFO ] 2023-03-08 00:03:27.933 [main] Filters - EventoPerdida{player=Player{id=7173, name='Leonardo Bonucci'}, type=Type{id=3, name='Dispossessed'}}
[INFO ] 2023-03-08 00:03:27.933 [main] Filters - EventoPerdida{player=Player{id=6766, name='Gerard Moreno Balaguero'}, type=Type{id=3, name='Dispossessed'}}
[INFO ] 2023-03-08 00:03:27.933 [main] Filters - EventoPerdida{player=Player{id=8181, name='Nicolò Barella'}, type=Type{id=3, name='Dispossessed'}}
[INFO ] 2023-03-08 00:03:27.933 [main] Filters - EventoPerdida{player=Player{id=11601, name='Matteo Pessina'}, type=Type{id=38, name='Miscontrol'}}
[INFO ] 2023-03-08 00:03:27.933 [main] Filters - EventoPerdida{player=Player{id=16532, name='Daniel Olmo Carvajal'}, type=Type{id=38, name='Miscontrol'}}
[INFO ] 2023-03-08 00:03:27.933 [main] Filters - EventoPerdida{player=Player{id=16532, name='Daniel Olmo Carvajal'}, type=Type{id=3, name='Dispossessed'}}
[INFO ] 2023-03-08 00:03:27.934 [main] Filters - EventoPerdida{player=Player{id=3477, name='Álvaro Borja Morata Martín'}, type=Type{id=38, name='Miscontrol'}}
[INFO ] 2023-03-08 00:03:27.934 [main] Filters - EventoPerdida{player=Player{id=7471, name='Andrea Belotti'}, type=Type{id=3, name='Dispossessed'}}
[INFO ] 2023-03-08 00:03:27.934 [main] Filters - EventoPerdida{player=Player{id=7156, name='Federico Chiesa'}, type=Type{id=3, name='Dispossessed'}}
[INFO ] 2023-03-08 00:03:27.934 [main] Filters - EventoPerdida{player=Player{id=5203, name='Sergio Busquets i Burgos'}, type=Type{id=3, name='Dispossessed'}}
[INFO ] 2023-03-08 00:03:27.934 [main] Filters - EventoPerdida{player=Player{id=16532, name='Daniel Olmo Carvajal'}, type=Type{id=38, name='Miscontrol'}}
[INFO ] 2023-03-08 00:03:27.934 [main] Filters - EventoPerdida{player=Player{id=30486, name='Pedro González López'}, type=Type{id=3, name='Dispossessed'}}
